,tk,ment
0,GME,2910
1,SPY,2800
2,AMC,1430
3,PLTR,1020
4,RKT,766
5,TSLA,534
6,AAPL,334
7,NIO,307
8,BB,234
9,SNDL,200
10,TLRY,174
11,APHA,165
12,NOK,129
13,AMD,126
14,MARA,113
15,NVDA,100
16,RIOT,98
17,CCIV,97
18,DKNG,95
19,FSR,89
20,DIS,74
21,AMZN,73
22,CRSR,66
23,ZOM,63
24,JNJ,62
25,QQQ,55
26,SQ,54
27,PLUG,51
28,GLD,51
29,OCGN,51
30,SLV,50
31,ARKK,49
32,GOOGL,43
33,SENS,43
34,WKHS,43
35,PYPL,43
36,FUBO,41
37,MVIS,39
38,BABA,37
39,MORF,35
40,IDEX,35
41,CCL,34
42,SOXL,34
43,UVXY,33
44,TQQQ,32
45,SPCE,32
46,FCEL,31
47,CLOV,29
48,NET,29
49,AAL,28
50,FB,27
51,ICLN,27
52,GE,27
53,ZM,27
54,ROKU,26
55,BA,26
56,NAKD,25
57,ETSY,25
58,NKLA,24
59,SNAP,24
60,CTRM,23
61,SOS,22
62,ROPE,21
63,NNDM,21
64,SQQQ,21
65,WMT,21
66,NCLH,20
67,ARKF,20
68,MSFT,20
69,BNGO,19
70,SPOT,19
71,TSM,19
72,SKYW,18
73,ATNX,18
74,DNN,17
75,RCL,17
76,ARKG,17
77,GSAT,17
78,LOTZ,16
79,MCD,16
80,SDC,15
81,UAL,15
82,ES,15
83,ABNB,15
84,XOM,14
85,GM,14
86,WWE,14
87,PFE,13
88,PRPL,13
89,F,13
90,ZNGA,12
91,GOEV,12
92,GEVO,12
93,UPS,12
94,PTON,12
95,ET,11
96,NFLX,11
97,AMCX,11
98,PLL,11
99,JPM,11
100,CRM,11
101,HYLN,11
102,GMED,10
103,MT,10
104,SNOW,10
105,STPK,10
106,TDOC,10
107,MU,10
108,LUV,10
109,MSOS,9
110,ACB,9
111,BBY,9
112,CO,9
113,MRNA,9
114,GRPN,9
115,FN,9
116,TLT,9
117,DE,9
118,TM,9
119,CPAC,9
120,TWTR,9
121,PSTH,9
122,INTC,8
123,LI,8
124,BIDU,8
125,LMND,8
126,UBER,8
127,COST,8
128,IWM,8
129,PINS,8
130,IQ,7
131,XLE,7
132,BJ,7
133,MJ,7
134,CTXR,7
135,HIMS,7
136,FSLY,7
137,RAD,7
138,WIRE,7
139,XL,7
140,VALE,7
141,WEN,7
142,JMIA,7
143,SKLZ,7
144,SONO,6
145,HAIL,6
146,HEXO,6
147,OGI,6
148,FUV,6
149,PS,6
150,SBUX,6
151,USO,6
152,SAVA,6
153,GPRO,6
154,ORCL,6
155,JD,6
156,XPEV,6
157,GNUS,6
158,QS,6
159,BEAM,6
160,WOOF,5
161,ARKW,5
162,LAD,5
163,THCB,5
164,FDX,5
165,BFLY,5
166,VTI,5
167,PENN,5
168,CMG,5
169,SNE,5
170,REV,5
171,SRNE,5
172,DECK,5
173,JETS,5
174,ON,5
175,OGS,5
176,MGNI,5
177,TNXP,5
178,TRXC,5
179,EAR,5
180,IAG,5
181,VUZI,5
182,BYD,5
183,FROG,5
184,ABT,5
185,CVS,5
186,MTCH,5
187,AMAT,5
188,SBE,4
189,ITA,4
190,DDS,4
191,CRON,4
192,POR,4
193,CVX,4
194,FI,4
195,ASO,4
196,DEN,4
197,NXE,4
198,WFC,4
199,BECKY,4
200,EBON,4
201,WIFI,4
202,ROOT,4
203,T,4
204,EE,4
205,FVRR,4
206,BAC,4
207,ATVI,4
208,EB,4
209,AFRM,4
210,AG,4
211,CRSP,4
212,LL,4
213,BBBY,4
214,FUTU,4
215,VZ,4
216,GSK,4
217,ZIOP,4
218,BMBL,4
219,QCOM,4
220,EXPI,4
221,SPXL,4
222,GS,4
223,NOAH,4
224,WIT,3
225,VACQ,3
226,YUM,3
227,CGC,3
228,BYND,3
229,BP,3
230,MRO,3
231,TGT,3
232,MGC,3
233,PBR,3
234,AMRS,3
235,TU,3
236,JNUG,3
237,EXPR,3
238,EPD,3
239,RIDE,3
240,INO,3
241,SP,3
242,EOG,3
243,FRX,3
244,BTWN,3
245,STMP,3
246,HD,3
247,NVAX,3
248,BIL,3
249,NNOX,3
250,UMC,3
251,VERU,3
252,IVR,3
253,KTOS,3
254,LYV,3
255,JE,3
256,SPXS,3
257,QQQJ,3
258,KOSS,3
259,SAND,3
260,DNMR,3
261,DPST,3
262,TAN,3
263,SIG,3
264,HALO,3
265,BIGC,3
266,MLM,3
267,PETS,3
268,VST,3
269,ACLS,3
270,OPK,3
